[2026-05-28T18:03:08.065Z] GET http://localhost:3001/_next/static/chunks/0eg._%40swc_helpers_cjs_0tjxsr6._.js → 200 (17ms, 2032B)
[2026-05-28T18:03:08.065Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_0rqeker._.js → 200 (16ms, 700B)
[2026-05-28T18:03:08.065Z] GET http://localhost:3001/_next/static/chunks/turbopack-bankzdesign_bankzdesign_web_0i--1qd._.js → 200 (17ms, 92378B)
[2026-05-28T18:03:08.065Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_03t3sf1._.js → 200 (17ms, 212934B)
[2026-05-28T18:03:08.065Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_src_app_layout_tsx_0msmte6._.js → 200 (16ms, 307B)
[2026-05-28T18:03:08.065Z] GET http://localhost:3001/_next/static/chunks/0eg._lucide-react_dist_esm_0fkried._.js → 200 (26ms, 9749B)
[2026-05-28T18:03:08.066Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_src_app_page_tsx_05l~ffz._.js → 200 (25ms, 267B)
[2026-05-28T18:03:08.066Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_client_components_builtin_global-error_05l~ffz.js → 200 (25ms, 212B)
[2026-05-28T18:03:08.090Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 200 (46ms, 15615B)
[2026-05-28T18:03:08.090Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0zn1kyo._.js → 200 (46ms, 289B)
[2026-05-28T18:12:01.856Z] GET http://localhost:3001/__nextjs_font/geist-latin.woff2 → 200 (27ms, 28356B)
[2026-05-28T18:12:39.288Z] GET http://localhost:3001/?_rsc=q3mOO9BClNZHexY7 → pending (?ms, ?B)
[2026-05-28T18:12:43.929Z] GET http://localhost:3001/?_rsc=q3mOO9BClNZHexY7 → pending (?ms, ?B)
[2026-05-28T18:12:43.944Z] GET http://localhost:3001/?_rsc=q3mOO9BClNZHexY7 → pending (?ms, ?B)
[2026-05-28T18:12:43.950Z] GET http://localhost:3001/?_rsc=q3mOO9BClNZHexY7 → pending (?ms, ?B)
[2026-05-28T18:12:43.950Z] GET http://localhost:3001/?_rsc=q3mOO9BClNZHexY7 → 200 (134ms, ?B)
[2026-05-28T18:12:43.968Z] GET http://localhost:3001/ → pending (?ms, ?B)
[2026-05-28T18:12:43.973Z] GET http://localhost:3001/ → pending (?ms, ?B)
[2026-05-28T18:12:43.974Z] GET http://localhost:3001/ → pending (?ms, ?B)
[2026-05-28T18:12:43.974Z] GET http://localhost:3001/ → 200 (266ms, 58024B)
[2026-05-28T18:12:44.089Z] GET http://localhost:3001/?_rsc=q3mOO9BClNZHexY7 → pending (?ms, ?B)
[2026-05-28T18:12:44.090Z] GET http://localhost:3001/?_rsc=q3mOO9BClNZHexY7 → 200 (143ms, ?B)
[2026-05-28T18:12:44.140Z] GET http://localhost:3001/_next/static/chunks/0eg._0xqsi6c._.js → pending (?ms, ?B)
[2026-05-28T18:12:44.145Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_src_app_page_tsx_0g60q7w._.js → pending (?ms, ?B)
[2026-05-28T18:12:44.264Z] GET http://localhost:3001/_next/static/media/5f402bd2d8eef81a-s.p.16whm0euli40m.woff2 → 200 (?ms, ?B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2 → 200 (?ms, ?B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/media/9433d1a810498265-s.p.0h26ys03~gfbk.woff2 → 200 (?ms, ?B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/chunks/%5Broot-of-the-server%5D__0n6f47b._.css → 200 (11ms, 34106B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0dwspdr._.js → 200 (16ms, 675B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_next-devtools_index_134~oje.js → 200 (32ms, ?B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_react-dom_114i-p.._.js → 200 (24ms, ?B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_react-server-dom-turbopack_0ye.m2k._.js → 200 (17ms, 174970B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_11ejuvp._.js → 200 (17ms, 145639B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_client_0zrnxa5._.js → 200 (23ms, ?B)
[2026-05-28T18:12:44.265Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_06hu.6j._.js → 200 (18ms, 253870B)
[2026-05-28T18:12:44.266Z] GET http://localhost:3001/_next/static/chunks/0eg._%40swc_helpers_cjs_0tjxsr6._.js → 200 (30ms, ?B)
[2026-05-28T18:12:44.266Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_0rqeker._.js → 200 (22ms, 700B)
[2026-05-28T18:12:44.266Z] GET http://localhost:3001/_next/static/chunks/turbopack-bankzdesign_bankzdesign_web_0i--1qd._.js → 200 (30ms, ?B)
[2026-05-28T18:12:44.266Z] GET http://localhost:3001/_next/static/chunks/0eg._0xqsi6c._.js → 200 (38ms, ?B)
[2026-05-28T18:12:44.266Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_src_app_layout_tsx_0msmte6._.js → 200 (31ms, ?B)
[2026-05-28T18:12:44.266Z] GET http://localhost:3001/_next/static/chunks/0eg._lucide-react_dist_esm_0fkried._.js → 200 (30ms, ?B)
[2026-05-28T18:12:44.266Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_src_app_page_tsx_0g60q7w._.js → 200 (34ms, ?B)
[2026-05-28T18:12:44.266Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_client_components_builtin_global-error_0g60q7w.js → 200 (38ms, ?B)
[2026-05-28T18:12:44.342Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 200 (24ms, 15615B)
[2026-05-28T18:12:44.342Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0zn1kyo._.js → 200 (23ms, 289B)
[2026-05-28T18:12:44.371Z] GET http://localhost:3001/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-05-28T18:12:44.397Z] GET https://va.vercel-scripts.com/v1/script.debug.js → 200 (537ms, 2997B)
[2026-05-28T18:12:44.397Z] GET https://va.vercel-scripts.com/v1/speed-insights/script.debug.js → 200 (543ms, 12682B)
